Variable,Mean,Std,P5,P25,Median,P75,P95,N,Bucket,N_obs
Option mid price ($),61.9148,54.6035,0.679,10.97,50.82,104.61,162.794,7469,Near-term (7-30d),7469
Implied volatility,0.1803,0.0169,0.1546,0.1676,0.1798,0.1917,0.2098,7469,Near-term (7-30d),7469
Log-moneyness ln(K/F),-0.0093,0.0948,-0.1569,-0.0777,-0.0023,0.0528,0.1547,7469,Near-term (7-30d),7469
Days to expiry,17.7104,3.4939,14.0,14.0,21.0,21.0,21.0,7469,Near-term (7-30d),7469
Delta,0.0636,0.7929,-1.0,-0.8533,0.0547,0.9643,1.0,7469,Near-term (7-30d),7469
|Delta|,0.7143,0.3499,0.0486,0.4831,0.9243,0.9991,1.0,7469,Near-term (7-30d),7469
Gamma,0.0042,0.0045,0.0,0.0001,0.0025,0.008,0.0127,7469,Near-term (7-30d),7469
Vega,0.2791,0.2938,0.0,0.0058,0.1755,0.5175,0.8279,7469,Near-term (7-30d),7469
Theta,-0.1431,0.1562,-0.4271,-0.2661,-0.0951,-0.0222,0.0477,7469,Near-term (7-30d),7469
Bid-ask spread ($),3.6831,3.8922,0.05,0.33,2.21,6.2,11.61,7469,Near-term (7-30d),7469
Relative spread (%),5.6832,4.4987,2.963,3.6715,4.8316,6.2468,7.6559,7469,Near-term (7-30d),7469
Volume (contracts),1359.5326,3449.4494,44.4,162.0,438.0,1209.0,5291.4,7469,Near-term (7-30d),7469
Open interest,16223.7925,59476.6358,224.4,1015.0,3299.0,10785.0,62917.4,7469,Near-term (7-30d),7469
Log(1+volume),6.1211,1.4449,3.8155,5.0938,6.0845,7.0984,8.574,7469,Near-term (7-30d),7469
Log(1+OI),8.1479,1.6976,5.4179,6.9236,8.1017,9.286,11.0496,7469,Near-term (7-30d),7469
IV − RV(21d),0.0214,0.0247,-0.0184,0.0044,0.0207,0.0393,0.0624,7406,Near-term (7-30d),7469
VIX level,18.7091,2.1155,15.33,17.18,18.61,20.24,22.33,7469,Near-term (7-30d),7469
ATM IV,0.1796,0.0163,0.1546,0.1672,0.1795,0.1915,0.2079,7469,Near-term (7-30d),7469
IV skew (25Δ put − ATM),0.0062,0.0048,-0.0016,0.0029,0.0063,0.0094,0.0137,7469,Near-term (7-30d),7469
IV term slope,0.0,0.0013,-0.0021,-0.0008,0.0001,0.0009,0.0021,7321,Near-term (7-30d),7469
SPX return (5d),-0.0013,0.022,-0.0371,-0.0165,-0.0003,0.0132,0.0331,7454,Near-term (7-30d),7469
SPX return (21d),-0.0037,0.0503,-0.0945,-0.0347,-0.0009,0.0325,0.071,7406,Near-term (7-30d),7469
Realized vol (21d),0.1591,0.0242,0.1209,0.1413,0.1578,0.1781,0.1989,7406,Near-term (7-30d),7469
Realized vol (63d),0.1598,0.0139,0.1366,0.1494,0.1604,0.1706,0.181,7325,Near-term (7-30d),7469
Option return (h-period),0.0337,1.0029,-0.8567,-0.3291,-0.0252,0.162,0.9998,7469,Near-term (7-30d),7469
